,Название площадки,Ссылка на сообщество,Количество участников,Охват рекламы,Охват по подписчикам,Стоимость,Длительность размещения
40,"Успех, Мотивация. Умный журнал",https://vk.com/club75161341,282686,0,12,72,1/24
41,Наука и факты - все самое интересное!,https://vk.com/club47764900,276020,0,52148,216,1/24
42,Business life,https://vk.com/club43251403,269003,1739,9762,288,1/24
43,A7,https://vk.com/club129524148,267653,0,33247,504,1/24
44,Секреты успеха,https://vk.com/club41272222,265564,4214,1143,144,1/24
45,Саморазвитие и Мотивация,https://vk.com/club163190220,262947,0,65946,576,1/24
46,Бизнес People,https://vk.com/club48797417,255664,0,12654,173,1/24
47,"Сообщество Богатого Папы: бизнес, инвестиции",https://vk.com/club3250628,253333,0,9822,288,1/24
48,Одержимые бизнесом,https://vk.com/club45222970,249228,0,12243,231,1/24
49,Бизнес | Саморазвитие,https://vk.com/club41438047,247468,0,7201,231,1/24
50,Бесплатная Россия,https://vk.com/club104331145,242472,0,29540,576,1/24
51,Заметки предпринимателя | Блог про бизнес,https://vk.com/club57612613,237458,0,2665,576,1/24
52,Мужской журнал,https://vk.com/club48862521,232992,0,25164,288,1/72
53,Монетариум | Бизнес | Саморазвитие | Повышаем IQ,https://vk.com/club43919011,224681,0,1554,429,1/24
54,Обнаженный Бизнес,https://vk.com/club37938407,217479,0,394,720,1/24
55,Бизнес блог Алексея Корнелюка - Цель Forbes,https://vk.com/club75796848,216080,0,63,27360,24/72
56,The Employer | Предприниматель,https://vk.com/club45993355,214436,0,15981,1592,2/48
57,САМОРАЗВИТИЕ | БИЗНЕС | МОТИВАЦИЯ,https://vk.com/club85910655,213947,0,12556,58,1/24
58,Бесплатно Конкурсы Розыгрыши Россия,https://vk.com/club126627530,209115,0,6021,144,1/48
59,Я стану Миллиардером,https://vk.com/club89354174,208668,0,10652,288,1/24
60,Бизнес-клуб №1 (видео и аудиокниги по бизнесу),https://vk.com/club40626080,206255,0,20207,360,1/72
61,Идеи для малого бизнеса,https://vk.com/club36557224,206245,0,31852,612,1/24
62,"Бизнес-идеи, инвестиции и кредиты",https://vk.com/club3800580,204287,0,19132,519,1/24
63,Товары до 5$ с Алиэкспресс,https://vk.com/club89541464,203972,0,33141,260,1/24
64,"Бизнес инкубатор | Мотивация, саморазвитие",https://vk.com/club58817259,203878,0,4373,36,1/24
65,Men's File ⚡,http://vk.com/club49866640,201931,0,44101,576,1/24
66,Деловая Колбаса | Бизнес-журнал,https://vk.com/club81806282,199697,0,9058,360,1/24
67,Интеллектуальное мнение,https://vk.com/club58596644,199404,1458,14749,173,1/24
68,Работа в интернете. Заработок. Объявления,https://vk.com/club64546971,199064,0,289,87,1/24
69,Бизнес цитаты | Мотивация,https://vk.com/club49677715,196337,284,1930,36,1/24
70,"Территория Успеха| Бизнес, успех, саморазвитие",https://vk.com/club44053412,195874,697,10753,144,1/24
71,Заработок в интернете | Работа | Подработка,https://vk.com/club57123381,194222,0,268,108,1/24
72,Миллион Вашингтонов,https://vk.com/club44656690,184879,0,71,1440,1/24
73,Мужская территория,https://vk.com/club112773578,180540,0,19897,288,1/24
74,Number One,https://vk.com/club66494675,180358,0,10340,288,2/48
75,Истории Успеха - бизнес и инвестирование,https://vk.com/club46422551,178866,0,6192,144,1/24
76,Бизнес независимость,https://vk.com/club50784188,178695,0,14652,432,1/72
77,Личность,https://vk.com/club154549313,177558,0,24716,144,1/24
78,Парадигма успеха,https://vk.com/club166455552,176836,0,30345,504,1/48
79,Каталог бизнес идей,https://vk.com/club74837480,173208,3321,11929,360,1/24
80,ТРЕНИНГ УСПЕХА | Вебинары,https://vk.com/club43889870,170195,0,18,404,1/72
81,AliExpress for men ©,https://vk.com/club134157496,167260,0,34042,360,1/24
82,Maksimovich  - Великий Новгород,https://vk.com/club28023821,166664,0,19881,18,1/24
83,Индивидуальный предприниматель,https://vk.com/club157453299,165876,2840,28146,576,1/24
84,Успешная Реальность,https://vk.com/club50594521,165094,0,14996,404,1/24
85,ПРАВИЛА БИЗНЕСА | ВСЕ О ДЕНЬГАХ,https://vk.com/club60089369,159505,0,6776,432,1/24
86,САМОРАЗВИТИЕ | SELF-DEVELOPMENT,https://vk.com/club114814860,155240,0,11960,432,1/24
87,JUST DO IT,https://vk.com/club34632252,153957,0,1300,72,1/48
88,Men's World | Мужской журнал,https://vk.com/club119509825,149550,0,38069,288,1/24
89,Не Наемное Настроение | Бизнес Журнал,https://vk.com/club63557556,148353,1403,7171,288,1/24
90,"Wiki Business - бизнес, стартап",https://vk.com/club49294900,147367,500,1545,188,1/72
91,PRO Бизнес,https://vk.com/club42823947,147139,0,5244,130,1/24
92,Стив Джобс и другие великие бизнесмены,https://vk.com/club67782575,143570,0,8700,432,1/24
93,Без Босса | Идеи бизнеса,https://vk.com/club83227908,143430,2795,9917,288,1/24
94,Рофлы компаний,https://vk.com/club184322224,143203,0,23887,504,1/24
95,PROfessional Business | Бизнес идеи,https://vk.com/club85923160,140756,0,20,72,1/24
96,В мире Бизнеса,https://vk.com/club54269344,139880,0,13056,432,1/72
97,Мужской кайф 18+,https://vk.com/club42101062,138410,0,10640,432,1/24
98,Кандидат в Миллионеры| Бизнес журнал,https://vk.com/club49547350,137718,0,6432,224,1/32
99,Акулы Бизнеса,https://vk.com/club6317671,132274,0,13939,360,1/48
100,Я Предприниматель,https://vk.com/club33588368,132271,0,17644,144,1/24
101,Бизнес Маркетинг,https://vk.com/club42328702,131707,0,14266,432,1/72
102,♔ Hooligan  and Princess ♔,https://vk.com/club83970626,130963,0,3714,144,1/24
103,Бизнес идеи,https://vk.com/club114767033,130140,1880,6967,288,1/24
104,Мотивация,https://vk.com/club39107759,130115,0,14351,216,1/24
105,Секреты успеха,https://vk.com/club66746212,128492,0,13532,612,1/24
106,6am,https://vk.com/club67283718,126850,0,10779,288,1/48
107,VINE VIDEO,https://vk.com/club828999,126833,0,12,432,1/24
108,Философия Успеха,https://vk.com/club47006029,124606,0,9037,100,1/48
109,"Консультанты Oriflame (Орифлэйм,Орифлейм)",https://vk.com/club44848239,121547,0,372,432,1/24
110,MAJOR | Мужской журнал,https://vk.com/club48509958,119528,0,15122,216,1/24
111,Business Times ©,https://vk.com/club40709605,118665,0,14507,466,1/24
112,Бизнес,https://vk.com/club40119410,117874,287,641,15,1/24
113,Сила мышления,https://vk.com/club165078891,117620,0,13049,317,1/48
114,Инвестируй и Богатей,https://vk.com/club41942392,117598,0,12887,288,1/24
115,ИНСТАГРАМ Раскрутка Взаимные Лайки Подписчики,https://vk.com/club45408582,117560,0,7,432,1/24
116,Мясорубка,https://vk.com/club87040584,115455,0,20,260,1/48
117,"Сильная личность | Мотивация, Саморазвитие",https://vk.com/club115246669,115307,0,5943,116,1/24
118,Кокетка | Женский бизнес,https://vk.com/club133583293,108776,0,2652,1728,1/48
119,Profit | Бизнес-идеи,https://vk.com/club112235637,108554,0,12372,432,1/24
120,Халявный Краснодар - Бесплатные конкурсы,https://vk.com/club86770939,103936,0,8568,576,2/48
121,Маркетинг | Реклама,https://vk.com/club46847296,103732,0,10613,432,1/48
122,"Философия, меняющая жизнь!",https://vk.com/club40112959,101119,0,6128,216,1/24
123,"БИЗНЕС-ПЛАНЫ, ДИПЛОМНЫЕ, КУРСОВЫE PAБOTЫ",https://vk.com/club45952604,100667,0,255,288,1/24
124,Бизнес,https://vk.com/club35641178,100543,0,8255,152,1/24
125,Махачкала,https://vk.com/club24098940,100360,0,14566,435,1/48
