Название площадки,Ссылка на сообщество,Количество участников,Охват рекламы,Охват по подписчикам,Стоимость,Длительность размещения
Мама в декрете,https://vk.com/club76925531,20077,31,20,5,1/24
ХАЛЯВА СКИДКИ %,https://vk.com/club192733102,23247,29,78,144,1/24
База Отдыха на берегу Вуоксы!!!,https://vk.com/club190833694,2948,28,48,29,1/24
Деньги | Бизнес | Работа | Инвестиции,https://vk.com/club74116201,25655,27,47,36,1/48
Ё- Баный крокодил,https://vk.com/club192597530,12628,27,209,144,1/24
"АДВОКАТ В ИСПАНИИ, ЮРИСТЫ, ВИД НА ЖИТЕЛЬСТВО",https://vk.com/club64911374,3379,26,9,576,12/48
Объявления | Услуги | Северо-Запад | Россия,https://vk.com/club166227657,2120,19,1,44,1/24
Live Барнаул | объявления продам отдам услуги,https://vk.com/club73117675,11540,17,452,15,1/24
ТУЛА ОБЪЯВЛЕНИЯ БЕСПЛАТНО ДОСКА ОБЪЯВЛЕНИЙ Туле.,https://vk.com/club68437028,14035,16,374,72,1/24
РУССКИЙ АДВОКАТ В ИСПАНИИ / ВИД НА ЖИТЕЛЬСТВО,https://vk.com/club52037457,1025,13,4,576,12/48
Аренда Екатеринбург,https://vk.com/club121122313,6439,13,5,3,1/48
Халтура Екатеринбург|Подработка|Услуги|Работа,https://vk.com/club142125568,1082,13,25,8,1/24
Записки богатых,https://vk.com/club47854735,8525,12,0,4,1/24
Услуги электрика ИЖЕВСК. Электромонажные работы!,https://vk.com/club114824516,2469,12,0,144,1/24
СВОЙ УСПЕХ МЫ СОЗДАЕМ САМИ,https://vk.com/club144042458,2047,11,10,22,1/24
Экономика | Бизнес,https://vk.com/club38212432,1355,10,9,144,1/24
Херсон Одесса объявления недвижимость аренда,https://vk.com/club68422574,10905,8,0,144,1/24
Коммерческие объявления,https://vk.com/club73100292,3172,7,313,72,1/24
САМАРА|ОСАГО|СТРАХОВКА В САМАРЕ|КАСКО|ТЕХОСМОТР,https://vk.com/club156395581,3254,7,15,11,1/24
Жильё в Крыму без посредников • Аренда • Продажа,https://vk.com/club175921696,2627,7,34,144,4/72
Недвижимость Москва | Снять квартиру МСК,https://vk.com/club166595275,1131,4,71,72,1/24
Бизнес в России - как стиль жизни,https://vk.com/club209554108,4742,4,232,288,2/24
Финансы | Кредиты,https://vk.com/club39347556,1448,3,2,72,1/24
Франшиза | Франчайзинг | Бизнес,https://vk.com/club4814,3649,0,0,15,4/48
Proбизнес | Авторский блог о бизнесе,https://vk.com/club7353,17614,0,8,1440,1/24
Бизнес в интернет,https://vk.com/club9258,5816,0,27,44,3/24
"ФК ""Кубань"" (Краснодар)",https://vk.com/club9689,21141,0,1,288,1/24
Продам | Куплю ЮТУБ Канал  Биржа YOUTUBE,https://vk.com/club29993,3434,0,9,15,1/24
Braininvest - Инвестируй с умом,https://vk.com/club34920,1869,0,0,62,1/24
Недвижимость Котласа и Коряжмы,https://vk.com/club42868,5679,0,1679,72,1/72
"Смотри, что я сделал из металла! Металлодром.",https://vk.com/club58544,4323,0,0,321,1/24
МЛМ Лидер Онлайн,https://vk.com/club62344,2267,0,2,62,24/48
ЖК Юнтолово | Неофициальная группа,https://vk.com/club85085,6612,0,2311,1440,1/24
Сетевой маркетинг | МЛМ бизнес | MLM,https://vk.com/club93279,16149,0,14,58,1/24
Лениндарно - виртуальные полёты(соц.проект),https://vk.com/club125497,1231,0,0,44,12/24
Снять Купить квартиру в Москве и Петербурге,https://vk.com/club156782,103699,0,708,360,5/72
*** N  E  F  T  E  G  A  Z ***,https://vk.com/club189751,5221,0,0,72,2/24
Рекламное агентство FOX Петербург/ rafox.ru,https://vk.com/club203790,1872,0,0,29,1/24
"Росляково | Общение, новости, реклама",https://vk.com/club326174,10943,0,2535,360,1/24
ПРОДВИЖЕНИЕ В ИНСТАГРАМ INSTAGRAM,https://vk.com/club478276,11496,0,1,359,1/24
Недвижимость Санкт-Петербурга,https://vk.com/club541191,22688,0,427,321,6/48
Центр Первичной Недвижимости,https://vk.com/club629718,1132,0,0,11,1/24
#Токарь - это звучит гордо!,https://vk.com/club660739,10994,0,3234,144,1/24
Система Менеджмента Качества,https://vk.com/club691335,9961,0,1283,720,4/24
Юристы и адвокаты: бесплатная юридическая помощь,https://vk.com/club702176,64575,0,9302,720,1/48
Тюменский центр НЛП,http://vk.com/club789808,3414,0,24,36,1/24
VINE VIDEO,https://vk.com/club828999,126833,0,12,432,1/24
Канаш,https://vk.com/club832344,13328,0,5,432,4/72
Я - Душа...,http://vk.com/club1015853,2054,0,19,3,3/3
[ТЕ]  Типичный Еланский,https://vk.com/club1270597,4512,0,408,116,1/24
СТРОИТЕЛЬСТВО. ТОЛКОВЫЙ СЛОВАРЬ В.ЧЕРНЫШЕВА,https://vk.com/club1347660,1679,0,0,44,1/24
"ЮЖНАЯ ГРУППА ВОЙСК|ЮГВ|ПОИСК СОСЛУЖИВЦЕВ, ДРУЗЕЙ",https://vk.com/club1398135,1694,0,11,72,3/50
ЖИЛЬЁ - ДРУЗЬЯМ [без агентов] сдам сниму СПб,https://vk.com/club1571699,5403,0,439,57,1/24
Приволжский микрорайон (Самара),https://vk.com/club1611360,2411,0,85,144,1/24
"УСН, ЕНВД, ПАТЕНТ | ПОМОЩЬ ПРЕДПРИНИМАТЕЛЯМ",https://vk.com/club1727990,1604,0,0,432,6/72
Доска объявлений Криптовалюта Биткоин Майнинг BT,https://vk.com/club1807255,1333,0,0,57,24/48
Сдам | Сниму | Аренда | Собственники Челябинск,https://vk.com/club1831748,17261,0,483,144,1/24
Крапива,https://vk.com/club1980138,8070,0,0,22,2/48
"Ekportal: инвестиции, финансы и экономика!",https://vk.com/club2042434,21323,0,153,288,12/72
Бизнес и мотивация ✔,https://vk.com/club2173853,10155,0,0,148,2/72
WebMoney Transfer Ввод/Вывод вебмани.,https://vk.com/club2252665,1826,0,0,216,1/24
YouTube - ПИАР*РЕКЛАМА*РАСКРУТКА - ВАШЕГО КАНАЛА,https://vk.com/club2304966,1017,0,10,11,1/56
Доска объявлений г.Петропавловск!!!,https://vk.com/club2415580,2782,0,32,6,10/24
Доставка Животных,https://vk.com/club2564134,1523,0,0,72,1/24
О недвижимости | Блог Дениса Ветренникова,https://vk.com/club2700243,1361,0,0,51,1/24
"| Работа | Клин , Солнечногорск , Зеленоград |",https://vk.com/club2904334,5436,0,13,58,1/24
2 СЕНТЯБРЯ ЛУЧШИЙ ПРАЗДНИК В ГОДУ!!!,https://vk.com/club2951660,3495,0,0,15,24/72
Сдам Куплю Продам Сниму без посредников Тюмень,https://vk.com/club3144387,15626,0,551,144,2/24
ЗАРАБОТОК НА АЛИЭКСПРЕСС,https://vk.com/club3200113,3123,0,0,58,1/24
"Сообщество Богатого Папы: бизнес, инвестиции",https://vk.com/club3250628,253333,0,9822,288,1/24
Бизнес | Украина,https://vk.com/club3252209,11526,0,0,32,4/24
Барахолка Украина UA  Україна,http://vk.com/club3287806,17109,0,0,32,3/3
Работа  и Жилье для мусульман,https://vk.com/club3538995,13487,0,627,12,1/24
GO.AGENCY,https://vk.com/club3550596,1909,0,0,62,1/24
"Помощник студента, Помстуд.рф",https://vk.com/club3625977,36910,0,48,144,1/24
"БЕЗОПАСНЫЕ ДЕ ДРЕДЫ, НАРАЩИВАНИЕ ВОЛОС в Одессе",https://vk.com/club3742954,2228,0,1,782,1/24
"Бизнес-идеи, инвестиции и кредиты",https://vk.com/club3800580,204287,0,19132,519,1/24
БИЗНЕС-СООБЩЕСТВО ★  БИЗНЕС ПОД КЛЮЧ  ★,https://vk.com/club3985811,7628,0,0,58,3/12
Эротическая литература,https://vk.com/club4184554,8687,0,0,22,1/72
Копирайтер. Студия копирайтинга Inspiration.,https://vk.com/club4291063,2138,0,0,44,1/17
<<<<<<ТТЭК им.А.Г.Рогова (Official Group)>>>>>>>,https://vk.com/club4352600,1016,0,1,29,1/24
QR коды для Cartoon Network,https://vk.com/club4478912,1479,0,1,29,1/24
Месягутово ˠ,https://vk.com/club4548151,14632,0,1289,101,1/24
✔ САМОРАЗВИТИЕ,https://vk.com/club4554964,1722,0,0,36,1/12
Недвижимость во Ржеве и Тверской области,https://vk.com/club4755097,1115,0,30,144,1/24
Снять/Сдать/Квартира/Комната/Уфа/в Уфе,https://vk.com/club4819453,6564,0,70,3,1/24
Элвин Грей,https://vk.com/club4861809,174547,0,8783,7200,24/24
НЕДВИЖИМОСТЬ  |  АРЕНДА КВАРТИР |  ОБЪЯВЛЕНИЯ,https://vk.com/club4882385,16473,0,778,29,1/48
НЕДВИЖИМОСТЬ В СОЧИ №1,https://vk.com/club4921399,5001,0,59,72,6/24
Региональная Фабрика Бизнесов,https://vk.com/club5165304,10055,0,0,72,2/24
ЖБИ. Блоки. Керамзит. Полусферы. Кольца. Фбс.,https://vk.com/club5396833,1266,0,0,12,24/48
B2B Jewelry — заработок/выплаты еженедельно/МЛМ,https://vk.com/club5418861,4691,0,0,72,1/24
"ВЕСЁЛЫЙ БАНКИР: Бизнес, финансы, банки, юмор",https://vk.com/club5485546,2615,0,1,8,1/24
"[TМП] ТИПИЧНЫЙ МЕНЕДЖЕР ПО ПРОДАЖАМ (ОФИС, ДОМ)",https://vk.com/club5500113,1228,0,23,32,2/24
Стол - река | ЯМебель,https://vk.com/club5651807,18180,0,0,148,1/24
Заработок в интернете. Инфобизнес. Обучение.,https://vk.com/club5658693,72811,0,0,101,2/48
Ассоциация франчайзинга Украины,https://vk.com/club5699721,1285,0,0,15,1/24
Американский Папаша | American Dad,https://vk.com/club6059235,59004,0,6220,135,2/24
Пиар Реклама Групп,https://vk.com/club6066800,1178,0,3,8,1/24
Кадастровая палата (кадастр РФ),https://vk.com/club6126596,10991,0,144,72,1/24
­­­­­Куплю-продам (Новокуйбышевск),https://vk.com/club6140597,2259,0,0,26,4/24
СТАРТАП | STARTUP,https://vk.com/club6160024,94818,0,333,360,1/24
Guna_my_home,https://vk.com/club6163594,1881,0,0,26,4/24
Бизнес Старт | Jeunesse,https://vk.com/club6181121,6491,0,0,10,1/24
"Мы работаем в ""Газпроме""",https://vk.com/club6306315,7686,0,0,72,3/36
Аренда Красноярск.Собственник,https://vk.com/club6313601,15111,0,615,51,1/24
Акулы Бизнеса,https://vk.com/club6317671,132274,0,13939,360,1/48
Бизнес Идеи,https://vk.com/club6379659,21307,0,1,245,2/24
Мебель Пенза | HOMEМЕБЕЛЬ | Кухни в Пензе,https://vk.com/club6537976,1418,0,0,6,12/12
"AliExpress, лучшие товары до 5$",https://vk.com/club6552114,18952,0,156,15,1/24
Бизнес Woman,https://vk.com/club6638644,327654,0,352,144,1/24
Zarplatto.ru,https://vk.com/club6640635,8180,0,110,144,12/72
Полезная страничка для PR-студента,https://vk.com/club6718896,8384,0,15,720,5/48
"Биткоин, криптовалюта",https://vk.com/club6722441,8919,0,1,116,4/24
"Снять, сдать квартиру, комнату, Казань.",https://vk.com/club7212345,23401,0,368,72,1/24
Настольные игры в Санкт-Петербурге,https://vk.com/club7212715,2976,0,13,123,3/48
Доход онлайн | Круизный клуб,https://vk.com/club7216593,4722,0,0,86,10/72
Смоленск. Скидки Акции Подарки Бесплатно Халява,https://vk.com/club7929201,1441,0,5,3,3/72
"Ариан. Антикризис. Регистрация фирм, ООО,ЗАО,ИП",http://vk.com/club7971245,5590,0,0,12,2/48
Клондайк интернет-маркетинга,https://vk.com/club8596136,1225,0,0,29,1/24
Venta - недвижимость,https://vk.com/club8779662,3644,0,0,15,1/24
"Monkey Web Сайт визитка, Создание сайтов",https://vk.com/club8841460,2317,0,0,10,1/24
Аренда квартир,http://vk.com/club8924975,6073,0,1,245,1/24
Кешбери,https://vk.com/club9028316,1340,0,0,4,2/72
"НЕДВИЖИМОСТЬ, СДАМ, СНИМУ, НОВОСТРОЙКИ",https://vk.com/club9029694,21693,0,87,123,1/24
★BON-BON SHOP★ Корейская косметика!,https://vk.com/club9172095,49214,0,0,288,2/24
Личный бренд. Основы,https://vk.com/club9192844,1106,0,0,36,1/24
"Неликвиды, оборудование, остатки | Объявления",https://vk.com/club9203626,16615,0,225,346,1/48
Ключ к успеху. Мотивация!,https://vk.com/club9284094,14575,0,0,17,1/46
Стартап - поиск инвестора на napartner.ru,https://vk.com/club9289673,17939,0,5,245,12/24
